공시년도,개방ID,학교명,학교급명,시도교육청명,공시차수,급식사고발생유무,급식사고발생일자,급식사고귀책사유내용,급식사고처리현황내용,입력일련번호,급식사고학생수,급식사고발생건수
2010,2408169388,상모고등학교,고등학교,경상북도교육청,3, ,20090608, ,역학조사 결과 (원인균) 불검출로 위생관리 철저 지시,1,147,1
2010,2433308660,군산동초등학교,초등학교,전북특별자치도교육청,3,Y,20090401, ,사고발생 없음,1,0,1
2010,2544360160,단원고등학교,고등학교,경기도교육청,3,Y,20100228, ,해당없음,1,0,1
2010,2583993017,노안중학교,중학교,전라남도교육청,3,Y,20091231, ,해당없음,1,0,1
2010,2606646418,충암고등학교,고등학교,서울특별시교육청,3,Y,20090518, ,"사고원인 : 학교급식석식(5/18,5/14일)중닭고기로 추정,외부음식닭꼬치     식중독사고대한 학교와교육청의 조치내용 : 5/21학교장주채긴급대책회의 후 급식중단(5/21석식부터~)도시락지참 지도. 외부음식 반입금지및 가정통신문 발행, 방역실시, 매점패쇄, 정수기 폐쇄, 장염의심환자격리및 인솔교사인솔하에 병원진료   6/1부터 급식재개",1,122,1
2010,2698778688,영도여자고등학교,고등학교,부산광역시교육청,3,Y,20090521, ,"역학조사결과 발병원인 및 감염경로는 정확히 확인되지는 않았지만, 일부 환자(2명)의 대변에서 식중독 원인균인 황색포도알균이 검출된 사실이 있어 주의 처분 받음.",1,160,1
2010,2723547816,울산중앙여자고등학교,고등학교,울산광역시교육청,3,Y,20090425, ,"1.학생및 조리종사원 가검물 채취결과 학생들에게는 병원성 대장균이 검출되었으나, 조리종사원2명에게서는 각각 살모넬라, 바실러스세레우스균이 검출되어 원인균은 불일치하였음  2. 이후  . 정수기 사용중단(1년동안 끓인물 공급)           . 급식시설 및 화장실 방역소독실시           . 손씻기등 개인위생강화 및 식중독 예방교육           . 급식 대기중 학생전수 손소독 분무 실시   ",2,176,1
2010,2731104135,목포중앙고등학교,고등학교,전라남도교육청,3,Y,20100520, ,해당사항없음,2,0,1
2010,2855576872,신리초등학교,초등학교,강원특별자치도교육청,3,Y,20091231, ,  해당없음,1,0,1
2010,2898776531,덕화중학교,중학교,대구광역시교육청,3,Y,20090420, ,1. 사고원인 : 장독소성 대장균 식중독  2. 사고개요 : 월요일 오전 설사학생 2명이상 발생 - 보건소 연락 - 보건환경연구원에 식중독 역학조사 의뢰 - 장독소성 대장균 30명 나옴.  3. 조치내용 : 3일간 도시락 지참  4. 결과 : - 급식 종사원 7명의 보균검사 결과 식중독균 없었음.             - 3일간 보존식 검사 결과 식중독균 없음.             - 균의 특성상 잠복기가 12시간 이므로 금요일 점심 급식후 토요일 수업이 있었으나               설사학생이 없었고 월요일 오전 설사학생 발생한 것으로 보아               급식과는 무관한 것으로 판단. ,1,30,1
2010,2944368720,두원초등학교,초등학교,전라남도교육청,3,Y,20100228, ,해당없음,1,0,1
2010,2995723903,단국대학교부속소프트웨어고등학교,고등학교,서울특별시교육청,3,Y,20100524, ,해당없음,1,0,1
2010,3241914749,나주문평중학교,중학교,전라남도교육청,3,Y,20100430, ,해당없음,1,0,1
2010,3334861338,송도중학교,중학교,인천광역시교육청,3,Y,20090706, ,"조사 결과 Campylobacter jejuni(학생31명) 및 EPEC(학생 5명)가 검출되었으며, 특히 Campylobacter jejuni는 덜 익혀진 가금류로 인하여 발생되는 균으로 2009.7.1(수) 반계탕 조리과정에서 하절기 육류 조리시 온도관리를 철저히 해야 함에도 중심온도 관리를 소홀히하여 인천광역시 중구 역학조사반으로부터 집단설사 환자 발생의 감염원으로 추정된 사실이 있음.    처분결과 : 앞으로 이러한 일이 다시 발생 하지 않도록 관련규정을 준수하고 학교 급식 위생관리 업무에 철저를 기하겠으며 관련자에 대하여는 다음과 같이 조치하였음    - 관련자 -    교장 김경철 - 주의조치    교감 박문섭 - 주의조치    행정실장 안정아 - 주의조치    영양사 양인선 - 경고조치",1,90,1
2010,3387129008,경상국립대학교사범대학부설중학교,중학교,교육부,3,Y,20090501, ,해당사항없음,1,0,1
2010,3496075510,안덕고등학교,고등학교,경상북도교육청,3,Y,20100517, ,해당없음,1,0,1
2010,3578761577,당곡중학교,중학교,서울특별시교육청,3,Y,20090401, ,자료기준일 2009.03.01.~2010.02.28에  급식사고 발생 사항 없음.,1,0,1
2010,3770432770,보령중학교,중학교,충청남도교육청,3,Y,20100228, ,해당없음,1,0,1
2010,3884926080,하장초등학교,초등학교,강원특별자치도교육청,3,Y,20100501, ,없음,1,0,1
2010,3984828174,서울등현초등학교,초등학교,서울특별시교육청,3,Y,20100525, ,없음,1,0,1
2010,4073513805,감물중학교,중학교,충청북도교육청,3,Y,20091231, ,해당없음,1,0,1
2010,4128707766,봉서중학교,중학교,전북특별자치도교육청,3,Y,20090519, ,해당없음,1,0,1
2010,4239876210,대천고등학교,고등학교,충청남도교육청,3, ,20090604, ,위생관리 철저 지시,1,82,1
2010,4294698953,인천논현고등학교,고등학교,인천광역시교육청,3,Y,20100519, ,사고 무,1,0,1
2010,4311176300,옥동중학교,중학교,울산광역시교육청,3, ,20090410, ,"영양교사, 학교장 '주의'",1,38,1
2010,4316008567,인천대정초등학교,초등학교,인천광역시교육청,3, ,20091210, ,보건소 접수신고(결과 : 원인균 불검출),1,12,1
2010,4421550810,예일메디텍고등학교,고등학교,경상북도교육청,3,Y,20100401, ,해당사항 없음,1,0,1
2010,4477768301,보문고등학교,고등학교,대전광역시교육청,3, ,20090612, ,위생관리 철저지시  ,1,31,1
2010,4516101896,울산고등학교,고등학교,울산광역시교육청,3,Y,20100210, ,"잠복기 및 설문조사 분석결과 감염경로를 중식(2.9)의 배추김치로 추정할 수 있으나 보존식에서는 균 검출이 되지 않아 배추김치로 인한 감염으로 확정짓기는 어려움. 사고 발생 후 정수기 사용중단, 급식 중단, 급식시설 및 화장실 등 방역 소독. 학생 조리 종사자와 교직원에게 손씻기 등 개인 위생 강화 및 예방 교육 실시.",1,87,1
2010,4579441726,인천효성동초등학교,초등학교,인천광역시교육청,3,Y,20100401, ,.,1,0,1
2010,4644575953,숭의여자고등학교,고등학교,서울특별시교육청,3,Y,20100519, ,급식사고 해당없음,1,0,1
2010,4694721996,금곡고등학교,고등학교,경기도교육청,3,Y,20100419, ,해당없음,1,0,1
2010,4713487803,포항영신고등학교,고등학교,경상북도교육청,3,Y,20100228, ,급식사고 발생 없음,1,0,1
2010,4948264777,서연중학교,중학교,서울특별시교육청,3,Y,20091231, ,급식사고 발생 없음,1,0,1
2010,5158184111,서울태릉초등학교,초등학교,서울특별시교육청,3,Y,20100518, ,없음,1,0,1
2010,5419359385,은척중학교,중학교,경상북도교육청,3,Y,20100518, ,해당없음,1,0,1
2010,5419359385,은척중학교,중학교,경상북도교육청,3,Y,20100518, ,해당없음,2,0,1
2010,5421865642,성지고등학교,고등학교,경기도교육청,3,Y,20090629, ,"사고 원인 : 보건소 역학조사 결과 원인경로는 밝히지는 못하였으나,학교급식이 원인이 되었을 가능성이 있다는 추정결론됨  성지고등학교는 급식담당교사, 교장은 각각 경고와 주의 처분을 받았음.  위탁업체(아워홈)와 담당 영양사는 각각 영업정지 1개월을 받았음",1,279,1
2010,5446180403,동일공업고등학교,고등학교,경기도교육청,3,Y,20100517, ,0,1,0,1
2010,5560973048,광양고등학교,고등학교,전라남도교육청,3,Y,20091231, ,해당없음,1,0,1
2010,5624492585,대성초등학교,초등학교,충청북도교육청,3,Y,20090302, ,해당사항 없음,1,0,1
2010,5849661350,잠원중학교,중학교,경기도교육청,3,Y,20100501, ,해당사항없음,1,0,1
2010,5941754996,광주고등학교,고등학교,경기도교육청,3,Y,20100326, ,"귀교에서는 2009. 03. 26. 설사, 복통 등을 호소하는 350명의 학생이 동일증상으로 집단환자가 발생하여 보건소 역학조사 결과 원인경로는 밝히지는 못하였으나, 환자가검물에서 크로스트리듐퍼프리젠스 4건 검출되어 09.03.26일 위탁급식(업체 : ECMD)에서 제공한 저녁음식(닭안심야채볶음)으로 추정함",1,4,1
2010,5981119096,양사초등학교,초등학교,인천광역시교육청,3,Y,20100208, ,해당사항없음,1,0,1
2010,5981815934,옹동초등학교,초등학교,전북특별자치도교육청,3,Y,20100517, ,해당없음,1,0,1
2010,6090057551,전주성심여자고등학교,고등학교,전북특별자치도교육청,3,Y,20100401, ,해당없음,1,0,1
2010,6208411633,성베드로학교,특수학교,서울특별시교육청,3,Y,20100520, ,해당없음.,1,0,1
2010,6208411633,성베드로학교,특수학교,서울특별시교육청,3,Y,20100520, ,해당없음.,2,0,1
2010,6228946089,청동초등학교,초등학교,경상북도교육청,3,Y,20100104, ,해당사항없음,1,0,1
2010,6250595271,선덕중학교,중학교,서울특별시교육청,3,Y,20100520, ,  급식사고 발생 없음,1,0,1
2010,6250595271,선덕중학교,중학교,서울특별시교육청,3,Y,20100520, ,급식사고 발생 없음,2,0,1
2010,6398608684,조산초등학교,초등학교,인천광역시교육청,3,Y,20100519, ,없음.,1,0,1
2010,6420976161,양산여자중학교,중학교,경상남도교육청,3,Y,20090401, ,급식사고 없음,1,0,1
2010,6439225912,매천고등학교,고등학교,대구광역시교육청,3,Y,20090421, ,"설사환자발생 - 발생신고(교육청,보건소) - 식중독비상대책반가동, 관련기관 조사 - 조사결과(보존식및 외부운반급식업체관계자(조리종사원)1명에서 장병원성 대장균(EPEC) 검출 -외부운반급식업체(아이원푸드) 계약해지 및 영업정지(4개월), 학교관계자(학교장,영양교사)문책",1,29,1
2010,6451604306,자양고등학교,고등학교,서울특별시교육청,3,Y,20100401, ,급식사고 발생한적 없음,1,0,1
2010,6493572294,수리고등학교,고등학교,경기도교육청,3,Y,20090828, ,1.사고원인 취탁업체배식종사자 2명에게 원인병원체 장관독소원성 대장균(ETEC)검출  2.사고 귀책사유 :학교급식 위생-안전관리소홀  3. 교육청 조치내용 :학교장 주의 조치.     학교 조치내용: 위탁급식업체 시정 처분.,1,37,1
2010,6733014702,전농중학교,중학교,서울특별시교육청,3,Y,20100522, ,급식사고가 없었음,1,0,1
2010,7003021419,고척고등학교,고등학교,서울특별시교육청,3,Y,20090615, ,"사고원인- 장병원성대장균에 오염된 조리종사자 박00(배선담당)의 손을 통해가열되지 않은 야채등의 식재료가 오염되고 오염된 식단(생야채비빔밥)을 통해 학생들에게 전파되었을것으로 사료  조치내용-급식업체 및 매점 폐쇄 및 음용수가 아리수로 대체, 학생의 개인위생 지도 및 관리,손씻기 교육, 관련된 가정통신발송하였고 위탁급식업체는 행정처분1개월 받아 영업정지된 상태",1,303,1
2010,7019181191,명진중학교,중학교,부산광역시교육청,3,Y,20100228, ,급식사고 없음,2,0,1
2010,7104280710,위도중학교,중학교,전북특별자치도교육청,3,Y,20091215, ,해당없음,1,0,1
2010,7181243479,과천고등학교,고등학교,경기도교육청,3,Y,20080923, ,"학교 식중독 의심환자 발생보고서, 학교 식중독 원인조사 결과보고서",1,80,1
2010,7257347404,능교초등학교,초등학교,전북특별자치도교육청,3,Y,20100520, ,해당없음,1,0,1
2010,7384596765,광천중학교,중학교,충청남도교육청,3,Y,20091006, ,"사고원인 : 원인불명, 검사결과 : 음성",1,1,1
2010,7384596765,광천중학교,중학교,충청남도교육청,3,Y,20091006, ,"사고원인 : 원인불명, 검사결과 : 음성",2,1,1
2010,7421796858,인왕중학교,중학교,서울특별시교육청,3,Y,20100520, ,해당없음,1,0,1
2010,7458280265,덕원고등학교,고등학교,대구광역시교육청,3,Y,20090518, ,"발생신고일시 : 2009.5.18, 11:30  역학조사일시 : 2009.5.18, 12:30  2009.5.18일과 5.19일 급식소 소독실시  원인병원체 : ETEC  음식오염으로 인한 전파로 추정되며 2009.5.25일 종결",1,42,1
2010,7476184546,호곡중학교,중학교,경기도교육청,3,Y,20100226, ,해당사항없음,1,0,1
2010,7544316411,청해초등학교,초등학교,전라남도교육청,3,Y,20100401, ,사고 발생 없음,1,0,1
2010,7622531235,중앙여자고등학교,고등학교,서울특별시교육청,3,Y,20090427, ,식중독 원인균 불검출,1,62,1
2010,7629239439,동상초등학교,초등학교,전북특별자치도교육청,3,Y,20100520, ,해당없음,1,0,1
2010,7707406520,영양고등학교,고등학교,경상북도교육청,3, ,20090612, ,"원인균 불검출, 위생관리 철저지시",1,31,1
2010,7797254621,경남자동차고등학교,고등학교,경상남도교육청,3,Y,20100301, ,급식 사고 없음,1,0,1
2010,7797746002,전북과학고등학교,고등학교,전북특별자치도교육청,3,Y,20100106, ,"사고원인 :노로바이러스  관계기관 조치내용: 시청에서 조리사 1개월 면허정지                     보건복지부에서 영양사 1개월 면허정지                     교육청에서 조리사,영양교사 1개월 직위해제",1,15,1
2010,7826855480,신가중학교,중학교,광주광역시교육청,3, ,20090907, ," 1) 1차 조시 사항  (1) 학교   ① 1차 대책회의     - 일시 : 9월 7일 11시     - 내용 : 급식중단(9월7일), 교실 및 급식실 방역 소독함              이상증상 학생 - 병원진료              설사증상 학생 끓인 물 지참              인스턴트 음식 및 기름진 음식 삼가 토록 안내    ② 2차 대책회의      - 일시 : 9월 7일 11시 40분      - 내용 : 의심 학생 파악 및 위생지도 실시 및 알콜 손소독 실시              가정통신문 발송, 보건교육함   (2) 교육청     ① 환자발생 인지 시기 및 조치사항      - 환자발생 인지(13:00경)      - 실태조사차 학교방문(13:15분)      - 복통 및 설사 환자발생에 따른 조치사항 및 환자현황파악 요령 지도      - 환자 실태파악 및 방역당국 역학조사 협조   (3) 광산구 보건소     ① 역학조사 수행      - 일시 : 9월 7일 오후 2시      - 내용 : 보존식 수거               환자가검물, 환경가검물 채취               학생(3명), 급식종사원(9명) 가검물 채취※ 1차 학교식중독 의심사고 참고사항 가. 추정원인 : 알수없음 나. 식수종류 : 상수원 다. 향후대책 : 방역소독 실시               병원처치 및 교직원 및 학생 위생지도강화              보건교육실시 및 안내장 발송(09.09.09)              개인도시락 및 개인물(끓인물)지참 2) 2차 조치사항  (1) 학교   ① 학교장 주재 긴급대책 회의     - 9월 8일 10시 3차 대책회의 : 11일까지 단축수업, 끓인물 지참, 학생 위                                     생지도, 가정통신물 발송     - 9월 9일 09시 4차 대책회의 : 개인 식수 지참, 학생 위생교육 강화  (2) 교육청   ① 보건소 역학조사 협조 및 환자현황 파악지도   ② 현장방문지도     - 환자 확산예방에 따른 조치, 설사환자 현황파악요령 지도  (3) 광산구 보건소   ① 역학조사 수행     - 일시 : 9월 8일 오전 10시     - 내용 : 학생(9명) 가검물 채취 3) 추후 조치사항    (1) 안전공제회 보상내용     식중독으로 인한 입원 및 통원학생 보상 청구 신청-총금액 5,551,530(현재 미확정)",1,5,1
2010,8019349038,봉덕초등학교,초등학교,충청북도교육청,3,Y,20100401, ,해당 없음,1,0,1
2010,8074527978,송남중학교,중학교,충청남도교육청,3,Y,20100518, ,해당없음,1,0,1
2010,8173221468,경구중학교,중학교,경상북도교육청,3,Y,20100518, ,현재까지 급식 사고자 없음,1,0,1
2010,8281275868,마천중학교,중학교,경상남도교육청,3,Y,20100520, ,해당사항 없음,1,0,1
2010,8310751736,덕원중학교,중학교,부산광역시교육청,3, ,20090916, ,역학조사 결과 원인균 불검출,2,12,1
2010,8472052276,백양중학교,중학교,경기도교육청,3,Y,20100517, ,해당없음,1,0,1
2010,8499490737,곡수초등학교,초등학교,경기도교육청,3,Y,20100522, ,0,1,0,1
2010,8569620311,창천중학교,중학교,서울특별시교육청,3,Y,20100520, ,0,1,0,1
2010,8593122363,수도전기공업고등학교,고등학교,서울특별시교육청,3,Y,20090603, ,  식중독 사고 발생    ○ 결과내용: 명확한 감염을 추정할 수 없음.    ○ 강남구 보건소에서 역학조사 실시    ○ 급식시설 및 교내 방역 실시    ○ 집단급식 일시 중지    ○ 가정통신문 발송 및 위생 보건교육 실시,1,49,1
2010,8700578629,인천용일초등학교,초등학교,인천광역시교육청,3,Y,20090401, ,해당사항 없음,1,0,1
2010,8756874442,인천부개초등학교,초등학교,인천광역시교육청,3,Y,20100518, ,해당사항없음.,1,0,1
2010,8788323879,성송초등학교,초등학교,전북특별자치도교육청,3,Y,20100501, ,급식사고 없음.,1,0,1
2010,8825898945,양주백석고등학교,고등학교,경기도교육청,3,Y,20090309, ,"- 당일 2009.03.09 중식 차수수밥,콩비지찌개,해물닭갈비,원추리나물,배추김치 섭취후 상부 복통,구토증상자 발생하여, 급식중단함.  - 교육청과 보건소에서 전체학생을 대상으로 유증상자 파악 하여 관리 및 역학조사 실시  - 학생 5명의 유증상자로 파악  - 역학조사관 의견:주증상이 구토,메스꺼움 등 상부복통이며,당일 원추리나물의 독성분으로 추정  - 보건소의 유증상환자의 추가 발생이 없고, 환자들의 완치됨으로 03.11(수) 급식재개 하라는 의 견을 보내옴.  - 조리종사원의 위생교육실시와 식당 및 급식실 살균소독 실시후 03.11(수)급식재개",1,5,1
2010,8869711756,구월중학교,중학교,인천광역시교육청,3,Y,20100517, ,급식사고 無,1,0,1
2010,8986259639,용문초등학교,초등학교,경기도교육청,3,Y,20100501, ,0,1,0,1
2010,9011143028,풍남초등학교,초등학교,전라남도교육청,3,Y,20100520, ,없음,1,0,1
2010,9108646154,오현초등학교,초등학교,경기도교육청,3, ,20090417, ,"사고원인 불명으로 귀책사유 판단 불가하였고, 긴급 역학조사반 출동하여 보존식 수거, 의심환자 8명 역학조사 및 체변검사하였으며 관계기관 통보함.",1,8,1
2010,9335316419,수기초등학교,초등학교,경기도교육청,3,Y,20100517, ,없슴,1,0,1
2010,9358342111,수일고등학교,고등학교,경기도교육청,3,Y,20100519, ,없음.,1,0,1
2010,9364907622,금구초등학교,초등학교,충청북도교육청,3,Y,20090101, ,급식사고 발생 : 없음 ,1,0,1
2010,9366111934,안양고등학교,고등학교,경기도교육청,3,Y,20100101, ,   급식사고 없었음(해당없음),1,0,1
2010,9463837146,화성매송초등학교,초등학교,경기도교육청,3,Y,20090302, ,해당없음,1,0,1
2010,9477086186,남성여자고등학교,고등학교,부산광역시교육청,3,Y,20100118, ,"사고 원인:역학조사를 실시하였으나 명확한 원인은 불명(식중독 추정)  사고 귀책사유:명확한 원인이 밝혀지지 않았기에 법적인 조치를 취할 수 없었음  조치내용:손씻기 등 개인 위생 관리 철저 지도, 교내 방역 실시, 매점 빙과류 등 일시 판매 중단 지도, 관련자에게 향후 이러한 사례가 없도록  학교 급식 위생, 안전 관리에 철저를 기하도록 주의를 촉구하였음",3,77,1
2010,9615362644,남정초등학교,초등학교,경상남도교육청,3,Y,20091231, ,해당사항없음,1,0,1
2010,9615983307,건국대학교사범대학부속고등학교,고등학교,서울특별시교육청,3,Y,20090530, ,"1. 급식 사고 발생 현황   ① 5월 28일(목) 석식이 문제였던 것으로 추정    → 계란 - 김연 푸드, 돈육 - SJ마트   ② 30일 구토 및 복통환자 8명, 복통 및 소화불량 26여명이 보고됨,       6월 1일 추가조사시 복통환자 58명 추가 보고됨.    ③ 학교 보건 체육과에 보고   ④ 광진구 보건소 관계자 내교, 보존식 수거 및 감염의심학생 가검물 채취 검사의뢰   ⑤ 검사 결과 통보 전까지 급식, 급수, 매점운영 중단 조치   ⑥ 대체 급식 장소 (대학 기숙사 식당, 대학 학생식당) 마련, 급식 지원자 식권 구입 제공    2. 문제점 분석   ① 조리실 실사, 식단 검수, 보고요령 절차 확인   ② 식자재의 신선도가 일자별로 좋고 나쁨의 편차가 컸음   ③ 조리원 위생상태 및 근무 태도 점검이 필요   ④ 식자재 검수 전 조리를 실시하는 경우가 있음   ⑤ 5월 급식이 학생들의 기호에 전반적으로 알맞지 못함    3. 향후 실질적인 급식 보완 대책    ① 식자재 검수 강화와 같은 단계적인 조치가 필요   ② 식자재 검수 이전에 조리를 못하게 해야 함   ③ 캔, 통조림, 소스 등이 중국산이 많은데, 중국산의 사용을 줄여야 함   ④ 문제점 발생시 업체에 대한 서면 경고   ⑤ 영양사와 조리장의 즉시 교체가 필요   ⑥ 학부모 모니터링 일지 매일 점검 및 확인 필요   ⑦ 일지점검 후 문제점은 바로 반영되어 시정조치 되도록 통보    4. 사고 관련 비상 대책 위원회 구성   ① 참가자 : 교장, 교감, 교무부장, 생활지도부장, 행정실장, 급식계, 영양사, 학부모 대표   ② 사고 발생 보고 시점부터 결과 통보시까지 매일 위원회 소집 및 대책 회의   ③ 환자 발생 현황 및 조치, 비상 급식 대책, 향후 급식실 운영 대책 마련    5. 결과   ① 가검물 - 역학조사 결과 식중독균 및 유사병균의 검출은 없었음   ② 급식실 시설 - 전체 소독과 환풍 및 청소 시설물 교체   ③ 검수절차 - 반드시 조리전 검수 필, 검수시 의심스런 원자재는 즉시 교체 조치   ④ 학부모 모니터링 권한강화 - 검수 및 메뉴선정 전 과정에 참여",1,92,1
2010,9646362006,도곡중앙초등학교,초등학교,전라남도교육청,3,Y,20100518, ,급식사고 없음,1,0,1
2010,9671603202,전남여자고등학교부설방송통신고등학교,방송통신고등학교,광주광역시교육청,3,Y,20100307, ,방통고는 해당사항 없음,1,0,1
2010,9719068109,함평초등학교,초등학교,전라남도교육청,3,Y,20100517, ,해당없음,1,0,1
2010,9741833627,위도고등학교,고등학교,전북특별자치도교육청,3,Y,20091216, ,해당없음,1,0,1
2010,9890763819,서울창도초등학교,초등학교,서울특별시교육청,3,Y,20100518, ,없음,1,0,1
2011,1004554927,경안여자중학교,중학교,경상북도교육청,2,Y,20110420, ,급식사고 해당사항 없음.,72,0,1
2011,1018460035,서울잠전초등학교,초등학교,서울특별시교육청,2,Y,20110418, ,해당사항없음,91,0,1
2011,1025363504,순천북초등학교,초등학교,전라남도교육청,2,Y,20110421, ,없음,108,0,1
2011,1034970104,송탄고등학교,고등학교,경기도교육청,2,Y,20110415, ,급식사고 발생 없음.,204,0,1
2011,1047842562,증평중학교,중학교,충청북도교육청,2,Y,101, ,무사고,23,0,1
2011,1068099677,부구중학교,중학교,경상북도교육청,2,Y,20110419, ,해당없음.,147,0,1
2011,1084861874,신라중학교,중학교,경상북도교육청,2,Y,20110101, ,해당사항없음,165,0,1
2011,1107085585,함창중학교,중학교,경상북도교육청,2,Y,101, ,급식 사고 없음.,141,0,1
2011,1135891437,서울남정초등학교,초등학교,서울특별시교육청,2,Y,20110418, ,해당 사고 없음,206,0,1
2011,1139400303,서울양전초등학교,초등학교,서울특별시교육청,2,Y,20110228, ,해당없음,14,0,1
2011,1169360041,연무마이스터고등학교,고등학교,충청남도교육청,2,Y,20110228, ,처리현황,71,0,1
2011,1171584129,약대초등학교,초등학교,경기도교육청,2,Y,101, ,해당없음,89,0,1
2011,1182992100,성일고등학교,고등학교,전북특별자치도교육청,2,Y,20110420, ,해당없음,103,0,1
2011,1219255566,형곡고등학교,고등학교,경상북도교육청,2,Y,20110414, ,해당없음,94,0,1
2011,1227148234,설화고등학교,고등학교,충청남도교육청,2,Y,20110413, ,급식사고 발생학생 없음,49,0,1
2011,1233259379,영동중학교,중학교,경상북도교육청,2,Y,20110228, ,해당없음,111,0,1
2011,1239134490,영산고등학교,고등학교,부산광역시교육청,2,Y,20110401, ,0,59,0,1
2011,1247469186,선암초등학교,초등학교,부산광역시교육청,2,Y,20110301, ,급식사고 미발생,71,0,1
2011,1249645531,빛고을고등학교,고등학교,광주광역시교육청,2,Y,20110419, ,해당사항 없음,29,0,1
2011,1255482554,조양중학교,중학교,경기도교육청,2,Y,20110414, ,해당없음,144,0,1
2011,1258638978,강원외국어고등학교,고등학교,강원특별자치도교육청,2,Y,20110419, ,해당사항없음,75,0,1
2011,1289399087,청양고등학교,고등학교,충청남도교육청,2,Y,20101231, ,사고미발생,87,0,1
2011,1298087298,예봉초등학교,초등학교,경기도교육청,2,Y,110412, ,해당사항없음,46,0,1
2011,1328524470,상지여자중학교,중학교,경상북도교육청,2,Y,20110420, ,급식사고가 발생하지 않았음.,172,0,1
2011,1371365249,기성초등학교,초등학교,경상북도교육청,2,Y,20110401, ,해당없음.,21,0,1
2011,1379786849,풍생중학교,중학교,경기도교육청,2,Y,20110420, ,해당사항 없음,251,0,1
2011,1383759737,양도초등학교,초등학교,인천광역시교육청,2,Y,20110418, ,해당없음,32,0,1
2011,1394269704,고전초등학교,초등학교,경상남도교육청,2,Y,20110420, ,해당없음,107,0,1
2011,1398743629,영도초등학교,초등학교,부산광역시교육청,2,Y,20110413, ,없음,21,0,1
2011,1449470639,남산초등학교,초등학교,부산광역시교육청,2,Y,20110228, ,해당없음,19,0,1
2011,1459847033,전남보건고등학교,고등학교,전라남도교육청,2,Y,20101231, ,2010학년도 학교급식 운영중 급식(식중독사고등) 사고 없음 ,91,0,1
2011,1511518716,구례북중학교,중학교,전라남도교육청,2,Y,20110419, ,해당없음,76,0,1
2011,1515576899,적암초등학교,초등학교,경기도교육청,2,Y,20101101, ,급식사고 해당없음,291,0,1
2011,1534743964,청천중학교,중학교,충청북도교육청,2,Y,20110418, ,없음,48,0,1
2011,1549337327,광주동신여자고등학교,고등학교,광주광역시교육청,2,Y,20100830, ,"2010년 8월 30일 발생한 일부 학생들이 집단설사 증상과 관련하여 집단식중독 발생에 따른 역학조사 최종통보결과  학생 12명,조리종사원 4명에서 장독소형 병원성대장균이 검출되었으나 보존식 및 환경검출에서 동일한 병원체가   검출되지 않아 학교장에게 학교급식관리를 철저히 하라고 함으로써 식품안전사고예방에 철저함.",25,18,1
2011,1556142091,한성여자중학교,중학교,서울특별시교육청,2,Y,101, ,해당없음,176,0,1
